TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
ArchitectureVisitor,BRANCH,0.8235294117647058,17,14
postprocessors.PostProcessorFactory,BRANCH,0.9090909090909091,11,10
postprocessors.WeakRolesProcessor,BRANCH,1.0,8,8
ArchitectureVisitor,BRANCH,0.29411764705882354,17,5
heuristics.AnalysedFile,BRANCH,0.7,10,7
heuristics.UnrecognizedHeuristics,BRANCH,1.0,1,1
heuristics.other.FilenameHeuristics,BRANCH,1.0,26,26
heuristics.other.FilePathHeuristics,BRANCH,1.0,14,14
heuristics.HeuristicsFactory,BRANCH,0.847457627118644,59,50
heuristics.java.TypeAnnotationHeuristics,BRANCH,0.4,20,8
heuristics.java.ImportsHeuristics,BRANCH,0.4666666666666667,15,7
heuristics.java.ExtendsHeuristics,BRANCH,0.21212121212121213,33,7
heuristics.java.ClassStructureHeuristics,BRANCH,0.3333333333333333,48,16
heuristics.java.AnnotationHeuristics,BRANCH,0.3333333333333333,45,15
heuristics.java.PackageHeuristics,BRANCH,0.4666666666666667,15,7
heuristics.java.ClassNameHeuristics,BRANCH,0.4117647058823529,17,7
heuristics.UnrecognizedHeuristicKey,BRANCH,1.0,1,1
heuristics.RoleVisitor,BRANCH,0.0,3,0
ArchitectureStudy,BRANCH,1.0,3,3
role.MappingStrategyConfigurator,BRANCH,0.25,12,3
role.RoleMappingStrategy,BRANCH,1.0,12,12
persistence.SQLFile,BRANCH,0.8823529411764706,17,15
